컨텐츠 아이디,공원 명,지번주소 코드,지번주소,도로명주소 코드,도로명주소,X좌표(LNG),Y좌표(LAT),컨텐츠상세필드명1,컨텐츠상세명11,컨텐츠상세필드명12,컨텐츠상세명12,컨텐츠상세필드명13,컨텐츠상세명13,컨텐츠상세필드명14,컨텐츠상세명14,컨텐츠상세필드명15,컨텐츠상세명15,컨텐츠상세필드명16,컨텐츠상세명16,컨텐츠상세필드명17,컨텐츠상세명17,컨텐츠상세필드명18,컨텐츠상세명18,컨텐츠상세필드명19,컨텐츠상세명19,컨텐츠상세필드명20,컨텐츠상세명20
성동구-마장어린이공원-1,마장어린이공원,1.12E+18,서울특별시 성동구 마장동 399-98,,서울특별시 성동구 마조로11길 6,127.041,37.56208333,공원명,,,,,,,,,,,,,,,,,,,
국립서울현충원-현충원-9,현충원,,서울특별시 동작구 동작동 267-2,1.16E+21,,126.9730479,37.49759596,공원명,,,,,,,,,,,,,,,,,,,
국립서울현충원-현충원-8,현충원,,서울특별시 동작구 동작동 283-12,1.16E+21,서울특별시 동작구 현충로 210,126.9710178,37.49751929,공원명,,,,,,,,,,,,,,,,,,,
은평구-관동 어린이공원-1,관동 어린이공원,,서울특별시 은평구 불광동 244-122,,서울특별시 은평구 통일로68가길 15,126.9295833,37.6135,공원명,,,,,,,,,,,,,,,,,,,
서대문구-해담는 어린이공원-1,해담는 어린이공원,,서울특별시 서대문구 북가좌동 324-37,,서울특별시 서대문구 증가로29길 30-47,126.9103611,37.58236111,공원명,,,,,,,,,,,,,,,,,,,
동작구-햇님 어린이공원-1,햇님 어린이공원,1.16E+18,서울특별시 동작구 상도1동 415,,서울특별시 동작구 상도로47길 51,126.9513056,37.5015,공원명,,,,,,,,,,,,,,,,,,,
은평구-불광천 음수대-4,불광천 음수대,,서울특별시 은평구 응암동 610-2,1.14E+21,서울특별시 은평구 증산로 414,126.9144772,37.59336805,공원명,,,,,,,,,,,,,,,,,,,
동작구-현충근린공원-1,현충근린공원,1.16E+18,서울특별시 동작구 흑석동 330,,,126.9593775,37.49898312,공원명,,,,,,,,,,,,,,,,,,,
은평구-분토골어린이공원-1,분토골어린이공원,1.14E+18,서울특별시 은평구 증산동 163-34,,서울특별시 은평구 증산로11길 5,126.9117275,37.58689035,공원명,,,,,,,,,,,,,,,,,,,
동작구-현충근린공원-2,동작구-현충근린공원-2,1.16E+18,서울특별시 동작구 흑석동 산 42-1,,,126.9578019,37.49931661,공원,,,,,,,,,,,,,,,,,,,
